"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.379717132E2,6.045103570E1,2.226251683E1,7.261906442E0,1.470000029E0,2.378000031E2,3.790092468E0,2.666508675E0
1.389719008E2,6.045103131E1,2.226248748E1,6.266314795E0,1.590000033E0,2.368999939E2,3.790092468E0,2.847780228E0
1.399717929E2,6.045102597E1,2.226245881E1,5.544893281E0,1.580000043E0,2.355000000E2,3.790092468E0,2.784820080E0
1.409716547E2,6.045102023E1,2.226243323E1,4.798690475E0,1.490000010E0,2.348000031E2,3.790092468E0,2.748115540E0
1.419716038E2,6.045101372E1,2.226240730E1,3.931577552E0,1.710000038E0,2.341999969E2,3.790092468E0,2.788682938E0
1.429711311E2,6.045100774E1,2.226238329E1,3.349558817E0,1.490000010E0,2.340000000E2,3.790092468E0,3.082169294E0
1.439714919E2,6.045100156E1,2.226235819E1,3.242821375E0,1.620000005E0,2.386000061E2,3.790092468E0,3.147759199E0
1.449718918E2,6.045099459E1,2.226233131E1,3.101844314E0,1.580000043E0,2.385000000E2,3.790092468E0,3.409616232E0
1.459719043E2,6.045098692E1,2.226230456E1,3.448782595E0,1.610000014E0,2.383999939E2,3.855753422E0,3.572852612E0
1.469713680E2,6.045097967E1,2.226228300E1,3.602725448E0,1.149999976E0,2.331999969E2,4.317299366E0,3.813606262E0
1.479714109E2,6.045097130E1,2.226226719E1,3.716322356E0,1.340000033E0,2.253999939E2,4.984759331E0,4.273851395E0
1.489710325E2,6.045096196E1,2.226224945E1,4.205652939E0,1.470000029E0,2.258999939E2,4.788813591E0,4.687402248E0
1.499714840E2,6.045095214E1,2.226223331E1,4.388830789E0,1.299999952E0,2.278999939E2,4.988541126E0,4.824939251E0
1.509710388E2,6.045094444E1,2.226222412E1,5.353987241E0,8.399999738E-1,2.296999969E2,5.264232635E0,4.930899143E0
1.519716940E2,6.045093535E1,2.226222435E1,4.767321825E0,6.800000072E-1,2.058999939E2,5.339803219E0,5.460969925E0
1.529718791E2,6.045091998E1,2.226223799E1,3.891530748E0,8.399999738E-1,1.570000000E2,4.856256008E0,5.306185246E0
1.539716569E2,6.045089877E1,2.226225647E1,3.822564442E0,1.029999971E0,1.538000031E2,4.656194210E0,5.114585876E0
1.549716169E2,6.045087396E1,2.226227109E1,4.200867107E0,1.309999943E0,1.733000031E2,4.892248631E0,5.376890659E0
1.559716520E2,6.045084881E1,2.226228668E1,3.498420048E0,1.289999962E0,1.745000000E2,4.966789722E0,5.701551437E0
