"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.056151007E0,1.927762747E0,-5.329877138E-1,1.452713013E0
1.061181840E0,1.745983958E0,-7.267644405E-1,9.860067368E-1
1.066212674E0,1.451460361E0,-8.359520435E-1,7.067699432E-1
1.071243507E0,1.143476486E0,-8.899873495E-1,5.713844299E-1
1.076274340E0,7.864117622E-1,-9.186266661E-1,6.079330444E-1
1.081305174E0,4.767464995E-1,-9.135524035E-1,7.347221375E-1
1.086336007E0,2.144875228E-1,-9.192566872E-1,9.229021072E-1
1.091366840E0,-2.045363188E-2,-9.274792671E-1,1.057926178E0
1.096397674E0,-2.054525018E-1,-9.491110444E-1,1.159237862E0
1.101428507E0,-3.233594298E-1,-9.997073412E-1,1.279515266E0
1.106459340E0,-3.481042385E-1,-1.046705484E0,1.347181320E0
1.111490174E0,-3.058970571E-1,-1.095942378E0,1.414924622E0
1.116521007E0,-2.367764115E-1,-1.119636536E0,1.454136848E0
1.121551840E0,-1.610594988E-1,-1.118843794E0,1.450668335E0
1.126582674E0,-5.540698767E-2,-1.056354046E0,1.438135147E0
1.131613507E0,4.166281223E-2,-9.471734762E-1,1.454752922E0
1.136644340E0,1.447661519E-1,-8.442667723E-1,1.462333679E0
1.141675174E0,2.782999873E-1,-7.811338305E-1,1.341835976E0
1.146706007E0,3.859824240E-1,-7.624689341E-1,1.012922287E0
1.151736840E0,5.356837511E-1,-8.020378351E-1,6.339197159E-1
1.156767674E0,7.468633652E-1,-8.511663675E-1,2.717933655E-1
1.161798507E0,1.014389396E0,-8.801500201E-1,-6.408977509E-2
1.166829340E0,1.318401814E0,-9.259347320E-1,-4.407730103E-1
1.171860174E0,1.600764871E0,-9.729029536E-1,-8.344640732E-1
1.176891007E0,1.885135531E0,-9.959262609E-1,-1.269146919E0
1.181921840E0,2.152067900E0,-1.012798071E0,-1.659096718E0
1.186952674E0,2.344333172E0,-9.793215990E-1,-1.976158619E0
1.191983507E0,2.434255362E0,-9.660666585E-1,-2.249462128E0
1.197014340E0,2.370968819E0,-1.028823256E0,-2.651067257E0
1.202045174E0,2.209365606E0,-1.108827591E0,-3.008957386E0
1.207076007E0,1.985091090E0,-1.138408184E0,-3.232834816E0
1.212106840E0,1.662088037E0,-1.117687106E0,-3.361365318E0
1.217137674E0,1.304316998E0,-1.113596201E0,-3.480719566E0
1.222168559E0,9.652736187E-1,-1.126393557E0,-3.581280231E0
1.227199444E0,6.592224836E-1,-1.146690845E0,-3.658283710E0
1.232230330E0,3.854528368E-1,-1.103452921E0,-3.659250736E0
1.237261215E0,9.050309658E-2,-1.016905189E0,-3.593840122E0
1.242292101E0,-1.502475142E-1,-9.072418809E-1,-3.533659458E0
